,Document_1,Document_2
айоцдзор,0.03601536352403171,0.0368132203765206
айрены,0.035500858330831254,0.035957098972415474
айриванка,0.035500858330831254,0.035957098972415474
айсберг,0.0349863531376308,0.035957098972415474
айсор,0.03470971665521695,0.035957098972415474
айстан,0.03470971665521695,0.035957098972415474
айясофия,0.034471847944430346,0.03510097756831034
ак,0.03395734275122989,0.03510097756831034
академик,0.03395734275122989,0.03510097756831034
академический,0.03395734275122989,0.03510097756831034
академия,0.03344283755802944,0.03510097756831034
акакий,0.03344283755802944,0.03424485616420521
аканф,0.03344283755802944,0.03424485616420521
акафист,0.03344283755802944,0.03424485616420521
акация,0.03344283755802944,0.03338873476010008
акварель,0.033263478461249586,0.03338873476010008
акватория,0.03292833236482899,0.03253261335599495
аквилон,0.03292833236482899,0.03253261335599495
аккепрь,0.03292833236482899,0.03253261335599495
аккорд,0.03292833236482899,0.03253261335599495
акоб,0.03292833236482899,0.03253261335599495
акоп,0.03292833236482899,0.03253261335599495
акопян,0.03241382717162854,0.03253261335599495
акриды,0.03189932197842808,0.03253261335599495
акробат,0.03138481678522763,0.03167649195188982
акрополь,0.03138481678522763,0.03167649195188982
акростих,0.03138481678522763,0.03167649195188982
аксенов,0.03138481678522763,0.03167649195188982
актер,0.03138481678522763,0.03082037054778469
активно,0.030870311592027175,0.03082037054778469
актриса,0.030870311592027175,0.03082037054778469
акула,0.030870311592027175,0.03082037054778469
алагез,0.030870311592027175,0.03082037054778469
алагяз,0.030371002073314838,0.03082037054778469
алагязать,0.030355806398826724,0.03082037054778469
алайский,0.030355806398826724,0.02996424914367956
алан,0.02984130120562627,0.02996424914367956
алань,0.02984130120562627,0.02996424914367956
алашкерт,0.02984130120562627,0.02996424914367956
алеко,0.02984130120562627,0.02996424914367956
александр,0.02984130120562627,0.02996424914367956
александрийский,0.02984130120562627,0.02996424914367956
александрия,0.029326796012425816,0.02996424914367956
александров,0.029326796012425816,0.02996424914367956
александрович,0.029326796012425816,0.02910812773957443
алексеев,0.029326796012425816,0.02910812773957443
алексеева,0.029326796012425816,0.02910812773957443
алексеевич,0.029326796012425816,0.02910812773957443
алексей,0.029326796012425816,0.02910812773957443
алена,0.028812290819225365,0.02910812773957443
аленушка,0.028812290819225365,0.028252006335469298
алессио,0.028812290819225365,0.028252006335469298
алетейя,0.02829778562602491,0.028252006335469298
алеть,0.02829778562602491,0.028252006335469298
али,0.028201644782363776,0.028252006335469298
алибеков,0.027783280432824457,0.028252006335469298
алишан,0.027783280432824457,0.028252006335469298
алкать,0.027783280432824457,0.02739588493136417
алкаш,0.027783280432824457,0.02739588493136417
алкид,0.027783280432824457,0.02739588493136417
алкидовой,0.027783280432824457,0.02739588493136417
алконост,0.027268775239624007,0.02739588493136417
алла,0.026755406588396403,0.02739588493136417
аллах,0.026754270046423553,0.02739588493136417
аллея,0.026754270046423553,0.02739588493136417
алмаз,0.026754270046423553,0.02739588493136417
алмазный,0.026754270046423553,0.02653976352725904
алозеленый,0.026754270046423553,0.02653976352725904
алость,0.0262397648532231,0.02653976352725904
алотуманный,0.0262397648532231,0.02653976352725904
алочерный,0.0262397648532231,0.02653976352725904
алоэ,0.026032287491412717,0.02653976352725904
алтайский,0.026032287491412717,0.02653976352725904
алтарик,0.026032287491412717,0.025683642123153907
алтарный,0.026032287491412717,0.025683642123153907
алтарь,0.026032287491412717,0.025683642123153907
алтея,0.025725259660022648,0.025683642123153907
алтын,0.025725259660022648,0.025683642123153907
алустон,0.025725259660022648,0.025683642123153907
алфавит,0.025725259660022648,0.025683642123153907
алфавитный,0.025725259660022648,0.025683642123153907
алхимик,0.02530916839442903,0.025683642123153907
алхимия,0.02530916839442903,0.025683642123153907
алчность,0.02530916839442903,0.025683642123153907
алчный,0.025210754466822194,0.024827520719048778
алый,0.025210754466822194,0.024827520719048778
алыча,0.025210754466822194,0.024827520719048778
альберт,0.025210754466822194,0.024827520719048778
альбертович,0.025210754466822194,0.024827520719048778
альбом,0.025210754466822194,0.024827520719048778
альков,0.025210754466822194,0.024827520719048778
альмаарь,0.02469624927362174,0.024827520719048778
альманах,0.02469624927362174,0.024827520719048778
альпинистский,0.02469624927362174,0.024827520719048778
альфа,0.02469624927362174,0.024827520719048778
альянс,0.02469624927362174,0.024827520719048778
ама,0.02469624927362174,0.024827520719048778
амазаспович,0.02469624927362174,0.024827520719048778
амарас,0.02418174408042129,0.02397139931494365
амба,0.02418174408042129,0.02397139931494365
амбар,0.02418174408042129,0.02397139931494365
амбарцумян,0.02418174408042129,0.02397139931494365
амбиция,0.02418174408042129,0.02397139931494365
амбразура,0.02418174408042129,0.02397139931494365
амвон,0.023667238887220835,0.02397139931494365
амелин,0.023667238887220835,0.02397139931494365
амена,0.023667238887220835,0.02397139931494365
америка,0.023667238887220835,0.02397139931494365
американский,0.023667238887220835,0.02397139931494365
аминь,0.023667238887220835,0.02397139931494365
амирам,0.023667238887220835,0.02397139931494365
амирханян,0.02315273369402038,0.02397139931494365
амнезия,0.02315273369402038,0.023115277910838516
амо,0.02315273369402038,0.023115277910838516
амок,0.02315273369402038,0.023115277910838516
амплиат,0.02315273369402038,0.023115277910838516
амплиата,0.02315273369402038,0.023115277910838516
амулет,0.023139811103477972,0.023115277910838516
амур,0.02263822850081993,0.023115277910838516
амурчик,0.02263822850081993,0.023115277910838516
амфитеатр,0.02263822850081993,0.023115277910838516
амфора,0.02263822850081993,0.022259156506733387
ан,0.02263822850081993,0.022259156506733387
анагид,0.02263822850081993,0.022259156506733387
анаид,0.022416692006494283,0.022259156506733387
анаида,0.022123723307619476,0.022259156506733387
анаит,0.022123723307619476,0.022259156506733387
ананас,0.022123723307619476,0.022259156506733387
ананян,0.0216935729095106,0.022259156506733387
анапа,0.0216935729095106,0.022259156506733387
анатольевна,0.0216935729095106,0.022259156506733387
анахорет,0.021609218114419022,0.022259156506733387
ангар,0.021609218114419022,0.022259156506733387
ангел,0.021609218114419022,0.022259156506733387
ангелворона,0.021609218114419022,0.022259156506733387
ангелхранитель,0.021609218114419022,0.021403035102628257
ангельский,0.021609218114419022,0.021403035102628257
ангина,0.021609218114419022,0.021403035102628257
ангирсак,0.021609218114419022,0.021403035102628257
англичанин,0.021609218114419022,0.021403035102628257
ангорский,0.021609218114419022,0.021403035102628257
андерсенто,0.021609218114419022,0.021403035102628257
андрей,0.021094712921218572,0.021403035102628257
анды,0.021094712921218572,0.021403035102628257
анекдотит,0.021094712921218572,0.021403035102628257
анемичный,0.021094712921218572,0.020546913698523125
анемон,0.021094712921218572,0.020546913698523125
аниец,0.021094712921218572,0.020546913698523125
анка,0.021094712921218572,0.020546913698523125
анкара,0.021094712921218572,0.020546913698523125
анкета,0.02097045381252691,0.020546913698523125
анна,0.020580207728018118,0.020546913698523125
анналы,0.020580207728018118,0.020546913698523125
аннексия,0.020580207728018118,0.020546913698523125
аннибал,0.020580207728018118,0.020546913698523125
ансамбль,0.020580207728018118,0.020546913698523125
антенна,0.020580207728018118,0.020546913698523125
антиармянин,0.020580207728018118,0.020546913698523125
антикварный,0.020247334715543228,0.020546913698523125
антипоэт,0.020065702534817664,0.020546913698523125
антисемит,0.020065702534817664,0.020455228950163617
антифашист,0.020065702534817664,0.019690792294417996
античность,0.020065702534817664,0.019690792294417996
античный,0.020065702534817664,0.019690792294417996
антокольский,0.020065702534817664,0.019690792294417996
антология,0.020065702534817664,0.019690792294417996
антонов,0.020065702534817664,0.019690792294417996
антоновский,0.020065702534817664,0.019690792294417996
антрэ,0.019551197341617213,0.019690792294417996
анус,0.019551197341617213,0.019690792294417996
ануш,0.019551197341617213,0.019690792294417996
анфилада,0.019551197341617213,0.019690792294417996
анютин,0.019551197341617213,0.019690792294417996
аня,0.019551197341617213,0.019690792294417996
аониды,0.019551197341617213,0.019690792294417996
аосмирнова,0.019551197341617213,0.019690792294417996
ап,0.019551197341617213,0.018834670890312866
апельсин,0.019551197341617213,0.018834670890312866
апельсиновый,0.019551197341617213,0.018834670890312866
аперитив,0.019524215618559538,0.018834670890312866
апокриф,0.019524215618559538,0.018834670890312866
апостол,0.01903669214841676,0.018834670890312866
апостольский,0.01903669214841676,0.018834670890312866
аппетит,0.01903669214841676,0.018834670890312866
апрель,0.01903669214841676,0.018834670890312866
апрельский,0.01903669214841676,0.017978549486207737
апсида,0.01903669214841676,0.017978549486207737
аптека,0.01903669214841676,0.017978549486207737
апшеронский,0.01903669214841676,0.017978549486207737
ар,0.01903669214841676,0.017978549486207737
араб,0.01903669214841676,0.017978549486207737
арабеска,0.01903669214841676,0.017978549486207737
арабский,0.018801096521575848,0.017978549486207737
арагаста,0.018522186955216305,0.017978549486207737
арагац,0.018522186955216305,0.017978549486207737
арагиля,0.018522186955216305,0.017978549486207737
аракелоц,0.018522186955216305,0.017978549486207737
аракса,0.018522186955216305,0.017978549486207737
аракский,0.018522186955216305,0.017978549486207737
араксом,0.018522186955216305,0.017978549486207737
аракся,0.018077977424592166,0.017978549486207737
аралез,0.018007681762015854,0.017978549486207737
аралеза,0.018007681762015854,0.017978549486207737
аралер,0.018007681762015854,0.017122428082102605
арам,0.018007681762015854,0.017122428082102605
арамян,0.018007681762015854,0.017122428082102605
арарат,0.018007681762015854,0.017122428082102605
араратский,0.018007681762015854,0.017122428082102605
арб,0.018007681762015854,0.017122428082102605
арба,0.018007681762015854,0.017122428082102605
арбак,0.0174931765688154,0.017122428082102605
арбат,0.0174931765688154,0.017122428082102605
арбуз,0.0174931765688154,0.017122428082102605
арбузный,0.0174931765688154,0.017122428082102605
аргишти,0.0174931765688154,0.017122428082102605
арго,0.0174931765688154,0.017122428082102605
аргориск,0.0174931765688154,0.017122428082102605
ардамет,0.0174931765688154,0.017122428082102605
ардоат,0.0174931765688154,0.017122428082102605
ардоата,0.0174931765688154,0.017122428082102605
ардучий,0.0174931765688154,0.017122428082102605
ареал,0.0174931765688154,0.017122428082102605
арев,0.0174931765688154,0.017122428082102605
арегунский,0.0174931765688154,0.017122428082102605
арена,0.0174931765688154,0.016266306677997475
аренц,0.0174931765688154,0.016266306677997475
арешян,0.0174931765688154,0.016266306677997475
арзрум,0.017354858327608476,0.016266306677997475
арзрумаль,0.017354858327608476,0.016266306677997475
арийский,0.017354858327608476,0.016266306677997475
арион,0.016978671375614946,0.016266306677997475
ариса,0.016978671375614946,0.016266306677997475
аристип,0.016978671375614946,0.016266306677997475
арка,0.016978671375614946,0.016266306677997475
аркада,0.016978671375614946,0.016266306677997475
аркадьевич,0.016978671375614946,0.016266306677997475
арктический,0.016978671375614946,0.016266306677997475
арм,0.016978671375614946,0.016266306677997475
армавир,0.016978671375614946,0.015410185273892344
арман,0.016978671375614946,0.015410185273892344
арманьяк,0.016978671375614946,0.015410185273892344
армгосиздат,0.016978671375614946,0.015410185273892344
армейский,0.016631739230624793,0.015410185273892344
армен,0.016631739230624793,0.015410185273892344
арменгиз,0.016631739230624793,0.015410185273892344
армения,0.016631739230624793,0.015410185273892344
арменский,0.016464166182414496,0.015410185273892344
армине,0.016464166182414496,0.015410185273892344
армия,0.016464166182414496,0.015410185273892344
армянедруг,0.016464166182414496,0.015410185273892344
армянин,0.016464166182414496,0.015410185273892344
армянинземледел,0.016464166182414496,0.015410185273892344
армянка,0.016464166182414496,0.015410185273892344
армянкастарушка,0.016464166182414496,0.015410185273892344
армянмкий,0.016464166182414496,0.015410185273892344
армяночка,0.016464166182414496,0.015410185273892344
армянск,0.01594966098921404,0.015410185273892344
армянский,0.01594966098921404,0.015410185273892344
армянство,0.01594966098921404,0.015410185273892344
арнаут,0.01594966098921404,0.015410185273892344
арно,0.01594966098921404,0.015410185273892344
аромат,0.01594966098921404,0.015410185273892344
ароматный,0.01594966098921404,0.015410185273892344
арочный,0.01594966098921404,0.015410185273892344
арпа,0.01594966098921404,0.015410185273892344
арпачай,0.015908620133641103,0.014554063869787215
арпачайская,0.015908620133641103,0.014554063869787215
аррарат,0.015908620133641103,0.014554063869787215
арсенал,0.015435155796013587,0.014554063869787215
арсений,0.015435155796013587,0.014554063869787215
арсения,0.015435155796013587,0.014554063869787215
арт,0.015435155796013587,0.014554063869787215
артавазд,0.015435155796013587,0.014554063869787215
артас,0.015435155796013587,0.014554063869787215
артатир,0.015435155796013587,0.014554063869787215
арташат,0.015435155796013587,0.014554063869787215
арташес,0.015435155796013587,0.014554063869787215
артвин,0.015435155796013587,0.014554063869787215
артель,0.015435155796013587,0.014554063869787215
артемида,0.015435155796013587,0.014554063869787215
артиллерия,0.015435155796013587,0.014554063869787215
артист,0.015435155796013587,0.014554063869787215
арто,0.015435155796013587,0.014554063869787215
артобстрел,0.015435155796013587,0.014554063869787215
артогонь,0.015435155796013587,0.014554063869787215
артос,0.015435155796013587,0.014554063869787215
артосский,0.015185501036657419,0.014554063869787215
артур,0.015185501036657419,0.014554063869787215
арутюн,0.015185501036657419,0.014554063869787215
арутюнов,0.014920650602813135,0.014554063869787215
арфа,0.014920650602813135,0.014554063869787215
архангел,0.014920650602813135,0.013697942465682084
архашен,0.014920650602813135,0.013697942465682084
археолог,0.014920650602813135,0.013697942465682084
архив,0.014920650602813135,0.013697942465682084
архиеп,0.014920650602813135,0.013697942465682084
архитектура,0.014920650602813135,0.013697942465682084
арцах,0.014920650602813135,0.013697942465682084
арцруни,0.014920650602813135,0.013697942465682084
арчак,0.014920650602813135,0.013697942465682084
аршавир,0.014920650602813135,0.013697942465682084
аршин,0.014920650602813135,0.013697942465682084
арык,0.014920650602813135,0.013697942465682084
арыков,0.014920650602813135,0.013697942465682084
арычный,0.014920650602813135,0.013697942465682084
асбест,0.014462381939673733,0.013697942465682084
аскания,0.014462381939673733,0.013697942465682084
аскер,0.014462381939673733,0.013697942465682084
аскеров,0.014462381939673733,0.013697942465682084
аскет,0.014462381939673733,0.013697942465682084
асланович,0.014462381939673733,0.013697942465682084
асмик,0.014462381939673733,0.013697942465682084
асоян,0.014462381939673733,0.013697942465682084
аспид,0.014462381939673733,0.013697942465682084
асс,0.014462381939673733,0.013697942465682084
ассирия,0.014462381939673733,0.013697942465682084
ассириянин,0.014406145409612683,0.013697942465682084
аствац,0.014406145409612683,0.013697942465682084
аствацацин,0.014406145409612683,0.013697942465682084
астиага,0.014406145409612683,0.013697942465682084
астицех,0.014406145409612683,0.013697942465682084
астра,0.014406145409612683,0.013697942465682084
астронавт,0.014406145409612683,0.013697942465682084
астхик,0.014406145409612683,0.013697942465682084
асфальт,0.014406145409612683,0.013697942465682084
асфальтовый,0.014406145409612683,0.013697942465682084
асфодель,0.014406145409612683,0.013697942465682084
ат,0.014406145409612683,0.013697942465682084
атака,0.014406145409612683,0.013697942465682084
атаковать,0.014406145409612683,0.013235736379517634
атаман,0.014406145409612683,0.013235736379517634
ататюрк,0.013891640216412229,0.012841821061576953
атеист,0.013891640216412229,0.012841821061576953
ателье,0.013891640216412229,0.012841821061576953
атилл,0.013891640216412229,0.012841821061576953
атина,0.013891640216412229,0.012841821061576953
атлантида,0.013891640216412229,0.012841821061576953
атлас,0.013891640216412229,0.012841821061576953
атом,0.013891640216412229,0.012841821061576953
атомный,0.013891640216412229,0.012841821061576953
атрибут,0.013891640216412229,0.012841821061576953
атрид,0.013891640216412229,0.012841821061576953
атриум,0.013891640216412229,0.012841821061576953
аттический,0.013891640216412229,0.012841821061576953
атый,0.013891640216412229,0.012841821061576953
ау,0.013739262842690047,0.012841821061576953
аудитория,0.013739262842690047,0.012841821061576953
аул,0.013739262842690047,0.012841821061576953
ауробинуть,0.013739262842690047,0.012841821061576953
афедрон,0.013377135023211776,0.012841821061576953
афина,0.013377135023211776,0.012841821061576953
афинский,0.013377135023211776,0.012841821061576953
афины,0.013377135023211776,0.012841821061576953
афиша,0.013377135023211776,0.012841821061576953
афонский,0.013377135023211776,0.012841821061576953
африканский,0.013377135023211776,0.012841821061576953
афродита,0.013377135023211776,0.012841821061576953
ах,0.013377135023211776,0.012841821061576953
ахалцых,0.013377135023211776,0.012841821061576953
ахдаг,0.013377135023211776,0.012841821061576953
ахилл,0.013377135023211776,0.012841821061576953
ахманган,0.013377135023211776,0.012841821061576953
ахматова,0.013377135023211776,0.012841821061576953
ахпат,0.013377135023211776,0.012841821061576953
ахтамар,0.013377135023211776,0.012841821061576953
ахтамара,0.013377135023211776,0.012841821061576953
ахтамарци,0.013016143745706359,0.012032487617743304
ахтырский,0.013016143745706359,0.012032487617743304
ашиккериб,0.013016143745706359,0.012032487617743304
ашот,0.013016143745706359,0.012032487617743304
ашотович,0.012862629830011324,0.011985699657471824
аштарак,0.012862629830011324,0.011985699657471824
ашуг,0.012862629830011324,0.011985699657471824
ашух,0.012862629830011324,0.011985699657471824
ашуха,0.012862629830011324,0.011985699657471824
аэродром,0.012862629830011324,0.011985699657471824
аэропорт,0.012862629830011324,0.011985699657471824
ая,0.012862629830011324,0.011985699657471824
ба,0.012862629830011324,0.011985699657471824
баба,0.012862629830011324,0.011985699657471824
бабаджанян,0.012862629830011324,0.011985699657471824
бабанить,0.012862629830011324,0.011985699657471824
бабанская,0.012862629830011324,0.011985699657471824
бабивать,0.012862629830011324,0.011985699657471824
бабий,0.012862629830011324,0.011985699657471824
бабка,0.012862629830011324,0.011985699657471824
бабкен,0.012862629830011324,0.011985699657471824
бабочка,0.012862629830011324,0.011985699657471824
бабочкипесочница,0.012862629830011324,0.011985699657471824
бабоюяга,0.012862629830011324,0.011985699657471824
бабушка,0.012862629830011324,0.011985699657471824
бабушкин,0.012862629830011324,0.011985699657471824
багаршак,0.012862629830011324,0.011985699657471824
багдад,0.012862629830011324,0.011985699657471824
багет,0.012862629830011324,0.011985699657471824
багор,0.012862629830011324,0.011985699657471824
баграмян,0.012862629830011324,0.011985699657471824
багратидский,0.012862629830011324,0.011985699657471824
багратион,0.01234812463681087,0.011985699657471824
багратунь,0.01234812463681087,0.011985699657471824
багриться,0.01234812463681087,0.011985699657471824
багрова,0.01234812463681087,0.011985699657471824
багроветь,0.01234812463681087,0.011985699657471824
багровый,0.01234812463681087,0.011985699657471824
багрянец,0.01234812463681087,0.011985699657471824
багряный,0.01234812463681087,0.011985699657471824
багульник,0.01234812463681087,0.011985699657471824
бадья,0.01234812463681087,0.011985699657471824
базальт,0.01234812463681087,0.011985699657471824
базальтовый,0.01234812463681087,0.011985699657471824
базар,0.01234812463681087,0.011985699657471824
базарный,0.01234812463681087,0.011985699657471824
базаров,0.01234812463681087,0.011985699657471824
базилик,0.01234812463681087,0.011985699657471824
базилика,0.01234812463681087,0.011985699657471824
байка,0.01234812463681087,0.011985699657471824
байрам,0.012293024648722672,0.011985699657471824
байрон,0.012293024648722672,0.011985699657471824
бакалея,0.012293024648722672,0.011985699657471824
бакинский,0.012293024648722672,0.011985699657471824
баклажан,0.011833619443610418,0.011985699657471824
баклан,0.011833619443610418,0.011985699657471824
баку,0.011833619443610418,0.011129578253366693
бал,0.011833619443610418,0.011129578253366693
балабек,0.011833619443610418,0.011129578253366693
балагур,0.011833619443610418,0.011129578253366693
балагурить,0.011833619443610418,0.011129578253366693
балансировать,0.011833619443610418,0.011129578253366693
балдеть,0.011833619443610418,0.011129578253366693
балерина,0.011833619443610418,0.011129578253366693
балетный,0.011833619443610418,0.011129578253366693
балка,0.011833619443610418,0.011129578253366693
балкана,0.011833619443610418,0.011129578253366693
балкова,0.011833619443610418,0.011129578253366693
балкон,0.011833619443610418,0.011129578253366693
балконутес,0.011833619443610418,0.011129578253366693
баллада,0.011833619443610418,0.011129578253366693
баловать,0.011833619443610418,0.011129578253366693
баловаться,0.011833619443610418,0.011129578253366693
балтийский,0.011833619443610418,0.011129578253366693
бальмонт,0.011833619443610418,0.011129578253366693
бамбирный,0.011833619443610418,0.011129578253366693
бамбук,0.011833619443610418,0.011129578253366693
банально,0.011833619443610418,0.011129578253366693
банан,0.011833619443610418,0.011129578253366693
бандеровский,0.011833619443610418,0.011129578253366693
бандит,0.011833619443610418,0.011129578253366693
банк,0.011833619443610418,0.011129578253366693
банка,0.011833619443610418,0.011129578253366693
банкет,0.011833619443610418,0.011129578253366693
банковский,0.011833619443610418,0.011129578253366693
баночка,0.011833619443610418,0.011129578253366693
бант,0.011833619443610418,0.011129578253366693
баня,0.011833619443610418,0.011129578253366693
баобаб,0.011569905551738986,0.011129578253366693
бар,0.011569905551738986,0.011129578253366693
барабан,0.011569905551738986,0.011129578253366693
барабанить,0.011569905551738986,0.011129578253366693
барак,0.011319114250409965,0.011129578253366693
баран,0.011319114250409965,0.011129578253366693
бараний,0.011319114250409965,0.011129578253366693
барановский,0.011319114250409965,0.011129578253366693
бараташвили,0.011319114250409965,0.011129578253366693
баратынский,0.011319114250409965,0.011129578253366693
барахолка,0.011319114250409965,0.011129578253366693
барахтаться,0.011319114250409965,0.011129578253366693
бараш,0.011319114250409965,0.011129578253366693
барбарис,0.011319114250409965,0.011129578253366693
барбаросс,0.011319114250409965,0.011129578253366693
барвинок,0.011319114250409965,0.011129578253366693
бард,0.011319114250409965,0.011129578253366693
бардачок,0.011319114250409965,0.011129578253366693
барев,0.011319114250409965,0.011129578253366693
барельеф,0.011319114250409965,0.011129578253366693
баренц,0.0108467864547553,0.011129578253366693
баржа,0.0108467864547553,0.011129578253366693
бари,0.0108467864547553,0.010829238855968972
баритон,0.0108467864547553,0.010273456849261562
бармения,0.0108467864547553,0.010273456849261562
барон,0.0108467864547553,0.010273456849261562
баррельбашбарыш,0.0108467864547553,0.010273456849261562
баррикада,0.010804609057209511,0.010273456849261562
барс,0.010804609057209511,0.010273456849261562
барственный,0.010804609057209511,0.010273456849261562
бархат,0.010804609057209511,0.010273456849261562
бархатный,0.010804609057209511,0.010273456849261562
барышник,0.010804609057209511,0.010273456849261562
барьер,0.010804609057209511,0.010273456849261562
бас,0.010804609057209511,0.010273456849261562
басня,0.010804609057209511,0.010273456849261562
бассейн,0.010804609057209511,0.010273456849261562
баста,0.010804609057209511,0.010273456849261562
бастион,0.010804609057209511,0.010273456849261562
бастурма,0.010804609057209511,0.010273456849261562
басурманин,0.010804609057209511,0.010273456849261562
баталия,0.010804609057209511,0.010273456849261562
батальон,0.010804609057209511,0.010273456849261562
батарея,0.010804609057209511,0.010273456849261562
батрак,0.010804609057209511,0.010273456849261562
бахарах,0.010804609057209511,0.010273456849261562
бахвальство,0.010804609057209511,0.010273456849261562
бахрома,0.010804609057209511,0.010273456849261562
бахчисараец,0.010804609057209511,0.010273456849261562
бахчисарай,0.010804609057209511,0.010273456849261562
бахчисарайский,0.010804609057209511,0.010273456849261562
башибузук,0.010804609057209511,0.010273456849261562
башка,0.010804609057209511,0.010273456849261562
